returned,month,county,year,date,day,sent
158,11,menominee,2016,2016/11/8,8,161
129791,11,milwaukee,2016,2016/11/8,8,132719
3177,11,monroe,2016,2016/11/8,8,3306
2850,11,oconto,2016,2016/11/8,8,3004
6501,11,sauk,2016,2016/11/9,9,6624
1706,11,sawyer,2016,2016/11/9,9,1760
2809,11,shawano,2016,2016/11/9,9,2864
13622,11,sheboygan,2016,2016/11/9,9,13875
10012,11,jefferson,2016,2016/11/15,15,10178
1492,11,juneau,2016,2016/11/15,15,1553
28039,11,kenosha,2016,2016/11/15,15,28357
1424,11,kewaunee,2016,2016/11/15,15,1460
21886,11,la crosse,2016,2016/11/15,15,22067
621,11,lafayette,2016,2016/11/15,15,637
1114,11,langlade,2016,2016/11/15,15,1173
1743,11,lincoln,2016,2016/11/15,15,1819
8282,11,manitowoc,2016,2016/11/15,15,8417
3182,11,oneida,2016,2016/11/7,7,3495
34396,11,outagamie,2016,2016/11/7,7,35454
20631,11,ozaukee,2016,2016/11/7,7,21324
238,11,pepin,2016,2016/11/7,7,324
3668,11,pierce,2016,2016/11/7,7,3932
2077,11,polk,2016,2016/11/7,7,2231
12049,11,portage,2016,2016/11/7,7,12352
747,11,price,2016,2016/11/7,7,853
3292,11,oneida,2016,2016/11/8,8,3568
34801,11,outagamie,2016,2016/11/8,8,35504
20894,11,ozaukee,2016,2016/11/8,8,21331
260,11,pepin,2016,2016/11/8,8,344
3891,11,pierce,2016,2016/11/8,8,4063
2200,11,polk,2016,2016/11/8,8,2290
11227,11,st. croix,2016,2016/11/9,9,11443
1055,11,taylor,2016,2016/11/9,9,1095
1269,11,trempealeau,2016,2016/11/9,9,1335
1507,11,vernon,2016,2016/11/9,9,1616
2554,11,vilas,2016,2016/11/9,9,2738
13065,11,walworth,2016,2016/11/9,9,13403
1135,11,washburn,2016,2016/11/9,9,1177
25418,11,washington,2016,2016/11/9,9,25742
90159,11,waukesha,2016,2016/11/9,9,91539
16798,11,marathon,2016,2016/11/15,15,17176
3617,11,marinette,2016,2016/11/15,15,3682
908,11,marquette,2016,2016/11/15,15,937
158,11,menominee,2016,2016/11/15,15,161
130380,11,milwaukee,2016,2016/11/15,15,132655
3214,11,monroe,2016,2016/11/15,15,3307
3048,11,oconto,2016,2016/11/15,15,3101
3381,11,oneida,2016,2016/11/15,15,3647
30446,11,racine,2016,2016/11/7,7,31468
722,11,richland,2016,2016/11/7,7,783
18572,11,rock,2016,2016/11/7,7,19197
405,11,rusk,2016,2016/11/7,7,522
6249,11,sauk,2016,2016/11/7,7,6485
1610,11,sawyer,2016,2016/11/7,7,1714
2655,11,shawano,2016,2016/11/7,7,2807
13264,11,sheboygan,2016,2016/11/7,7,13776
12180,11,portage,2016,2016/11/8,8,12379
836,11,price,2016,2016/11/8,8,892
32092,11,racine,2016,2016/11/8,8,32819
775,11,richland,2016,2016/11/8,8,812
18884,11,rock,2016,2016/11/8,8,19277
494,11,rusk,2016,2016/11/8,8,576
6454,11,sauk,2016,2016/11/8,8,6624
1680,11,sawyer,2016,2016/11/8,8,1751
2783,11,shawano,2016,2016/11/8,8,2859
13511,11,sheboygan,2016,2016/11/8,8,13848
11111,11,st. croix,2016,2016/11/8,8,11437
4157,11,waupaca,2016,2016/11/9,9,4310
1257,11,waushara,2016,2016/11/9,9,1320
27911,11,winnebago,2016,2016/11/9,9,28297
7577,11,wood,2016,2016/11/9,9,7733
34996,11,outagamie,2016,2016/11/15,15,35474
20983,11,ozaukee,2016,2016/11/15,15,21298
288,11,pepin,2016,2016/11/15,15,355
3975,11,pierce,2016,2016/11/15,15,4078
2281,11,polk,2016,2016/11/15,15,2329
12337,11,portage,2016,2016/11/15,15,12443
881,11,price,2016,2016/11/15,15,910
33360,11,racine,2016,2016/11/15,15,33824
781,11,richland,2016,2016/11/15,15,812
19009,11,rock,2016,2016/11/15,15,19286
10937,11,st. croix,2016,2016/11/7,7,11388
943,11,taylor,2016,2016/11/7,7,1034
1157,11,trempealeau,2016,2016/11/7,7,1261
1344,11,vernon,2016,2016/11/7,7,1519
2187,11,vilas,2016,2016/11/7,7,2413
12423,11,walworth,2016,2016/11/7,7,13011
1021,11,washburn,2016,2016/11/7,7,1097
25084,11,washington,2016,2016/11/7,7,25717
88363,11,waukesha,2016,2016/11/7,7,91192
3839,11,waupaca,2016,2016/11/7,7,4105
1177,11,waushara,2016,2016/11/7,7,1286
27403,11,winnebago,2016,2016/11/7,7,28198
1040,11,taylor,2016,2016/11/8,8,1092
1217,11,trempealeau,2016,2016/11/8,8,1309
1435,11,vernon,2016,2016/11/8,8,1570
2274,11,vilas,2016,2016/11/8,8,2492
12998,11,walworth,2016,2016/11/8,8,13399
1098,11,washburn,2016,2016/11/8,8,1149
25278,11,washington,2016,2016/11/8,8,25735
89796,11,waukesha,2016,2016/11/8,8,91531
4055,11,waupaca,2016,2016/11/8,8,4258
524,11,rusk,2016,2016/11/15,15,605
6520,11,sauk,2016,2016/11/15,15,6623
1706,11,sawyer,2016,2016/11/15,15,1756
2868,11,shawano,2016,2016/11/15,15,2901
13641,11,sheboygan,2016,2016/11/15,15,13856
11242,11,st. croix,2016,2016/11/15,15,11438
1057,11,taylor,2016,2016/11/15,15,1095
1316,11,trempealeau,2016,2016/11/15,15,1390
1517,11,vernon,2016,2016/11/15,15,1620
2975,11,vilas,2016,2016/11/15,15,3077
13091,11,walworth,2016,2016/11/15,15,13400
1154,11,washburn,2016,2016/11/15,15,1183
7003,11,wood,2016,2016/11/7,7,7353
1237,11,waushara,2016,2016/11/8,8,1317
27658,11,winnebago,2016,2016/11/8,8,28293
7409,11,wood,2016,2016/11/8,8,7634
25431,11,washington,2016,2016/11/15,15,25713
90305,11,waukesha,2016,2016/11/15,15,91490
4160,11,waupaca,2016,2016/11/15,15,4309
1274,11,waushara,2016,2016/11/15,15,1318
27929,11,winnebago,2016,2016/11/15,15,28270
7583,11,wood,2016,2016/11/15,15,7730
74,8,adams,2018,2018/8/1,1,138
118,8,ashland,2018,2018/8/1,1,235
130,8,barron,2018,2018/8/1,1,282
49,8,bayfield,2018,2018/8/1,1,91
2476,8,brown,2018,2018/8/1,1,4184
25,8,buffalo,2018,2018/8/1,1,62
47,8,burnett,2018,2018/8/1,1,118
359,8,calumet,2018,2018/8/1,1,570
328,8,chippewa,2018,2018/8/1,1,579
94,8,clark,2018,2018/8/1,1,153
348,8,columbia,2018,2018/8/1,1,561
59,8,crawford,2018,2018/8/1,1,129
5163,8,dane,2018,2018/8/1,1,9459
519,8,dodge,2018,2018/8/1,1,830
182,8,door,2018,2018/8/1,1,392
393,8,douglas,2018,2018/8/1,1,801
194,8,dunn,2018,2018/8/1,1,381
716,8,eau claire,2018,2018/8/1,1,1294
14,8,florence,2018,2018/8/1,1,28
703,8,fond du lac,2018,2018/8/1,1,1446
83,8,forest,2018,2018/8/1,1,142
182,8,grant,2018,2018/8/1,1,557
151,8,green,2018,2018/8/1,1,285
128,8,green lake,2018,2018/8/1,1,174
129,8,iowa,2018,2018/8/1,1,259
75,8,iron,2018,2018/8/1,1,127
25,8,jackson,2018,2018/8/1,1,61
369,8,jefferson,2018,2018/8/1,1,663
30,8,juneau,2018,2018/8/1,1,191
1497,8,kenosha,2018,2018/8/1,1,2833
181,8,kewaunee,2018,2018/8/1,1,286
972,8,la crosse,2018,2018/8/1,1,1538
44,8,lafayette,2018,2018/8/1,1,120
100,8,langlade,2018,2018/8/1,1,175
188,8,lincoln,2018,2018/8/1,1,333
748,8,manitowoc,2018,2018/8/1,1,1143
1057,8,marathon,2018,2018/8/1,1,1838
281,8,marinette,2018,2018/8/1,1,459
74,8,marquette,2018,2018/8/1,1,114
0,8,menominee,2018,2018/8/1,1,0
7008,8,milwaukee,2018,2018/8/1,1,13508
178,8,monroe,2018,2018/8/1,1,316
236,8,oconto,2018,2018/8/1,1,379
303,8,oneida,2018,2018/8/1,1,638
1302,8,outagamie,2018,2018/8/1,1,2364
1155,8,ozaukee,2018,2018/8/1,1,1898
2,8,pepin,2018,2018/8/1,1,12
110,8,pierce,2018,2018/8/1,1,266
148,8,polk,2018,2018/8/1,1,301
367,8,portage,2018,2018/8/1,1,658
46,8,price,2018,2018/8/1,1,89
1402,8,racine,2018,2018/8/1,1,3185
35,8,richland,2018,2018/8/1,1,97
988,8,rock,2018,2018/8/1,1,1695
70,7,adams,2018,2018/7/31,31,128
107,7,ashland,2018,2018/7/31,31,226
126,7,barron,2018,2018/7/31,31,279
85,8,rusk,2018,2018/8/1,1,143
370,8,st. croix,2018,2018/8/1,1,758
481,8,sauk,2018,2018/8/1,1,771
89,8,sawyer,2018,2018/8/1,1,201
224,8,shawano,2018,2018/8/1,1,334
861,8,sheboygan,2018,2018/8/1,1,1513
86,8,taylor,2018,2018/8/1,1,146
41,8,trempealeau,2018,2018/8/1,1,106
107,8,vernon,2018,2018/8/1,1,222
161,8,vilas,2018,2018/8/1,1,302
516,8,walworth,2018,2018/8/1,1,1446
97,8,washburn,2018,2018/8/1,1,173
1062,8,washington,2018,2018/8/1,1,1872
37,7,bayfield,2018,2018/7/31,31,81
2287,7,brown,2018,2018/7/31,31,4062
25,7,buffalo,2018,2018/7/31,31,62
43,7,burnett,2018,2018/7/31,31,115
324,7,calumet,2018,2018/7/31,31,544
313,7,chippewa,2018,2018/7/31,31,573
80,7,clark,2018,2018/7/31,31,138
313,7,columbia,2018,2018/7/31,31,534
56,7,crawford,2018,2018/7/31,31,124
4425,7,dane,2018,2018/7/31,31,8676
498,7,dodge,2018,2018/7/31,31,813
3761,8,waukesha,2018,2018/8/1,1,7057
415,8,waupaca,2018,2018/8/1,1,594
129,8,waushara,2018,2018/8/1,1,239
1219,8,winnebago,2018,2018/8/1,1,2172
637,8,wood,2018,2018/8/1,1,1093
147,7,door,2018,2018/7/31,31,347
376,7,douglas,2018,2018/7/31,31,792
187,7,dunn,2018,2018/7/31,31,374
638,7,eau claire,2018,2018/7/31,31,1211
13,7,florence,2018,2018/7/31,31,27
667,7,fond du lac,2018,2018/7/31,31,1421
78,7,forest,2018,2018/7/31,31,139
152,7,grant,2018,2018/7/31,31,535
143,7,green,2018,2018/7/31,31,273
126,7,green lake,2018,2018/7/31,31,173
107,7,iowa,2018,2018/7/31,31,240
74,7,iron,2018,2018/7/31,31,126
23,7,jackson,2018,2018/7/31,31,61
346,7,jefferson,2018,2018/7/31,31,638
30,7,juneau,2018,2018/7/31,31,190
1295,7,kenosha,2018,2018/7/31,31,2738
180,7,kewaunee,2018,2018/7/31,31,286
